kegiatan_id;kode;nama;satuan_kerja_id;anggaran;tahun_kinerja
;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;DIKBUD;152.214.736.750,00;2025
;1.01.02;PROGRAM PENGELOLAAN PENDIDIKAN;DIKBUD;29.295.000.000,00;2025
;1.01.03;PROGRAM PENGEMBANGAN KURIKULUM;DIKBUD;100.000.000,00;2025
;1.01.04;PROGRAM PENDIDIK DAN TENAGA KEPENDIDIKAN;DIKBUD;525.000.000,00;2025
;1.01.06;PROGRAM PENGEMBANGAN BAHASA DAN SASTRA;DIKBUD;670.000.000,00;2025
;2.22.02;PROGRAM PENGEMBANGAN KEBUDAYAAN;DIKBUD;130.000.000,00;2025
;2.22.03;PROGRAM PENGEMBANGAN KESENIAN TRADISIONAL;DIKBUD;0;2025
;2.22.04;PROGRAM PEMBINAAN SEJARAH;DIKBUD;0;2025
;2.22.05;PROGRAM PELESTARIAN DAN PENGELOLAAN CAGAR BUDAYA;DIKBUD;300.000.000,00;2025
