kode;nama;anggaran;satuan_kerja_id;tahun_kinerja
5.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;6755815000;1;2025
5.01.02;PROGRAM PERENCANAAN, PENGENDALIAN DAN EVALUASI PEMBANGUNAN DAERAH;300000000;1;2025
5.01.03;PROGRAM KOORDINASI DAN SINKRONISASI PERENCANAAN PEMBANGUNAN DAERAH;300000000;1;2025
5.05.02;PROGRAM PENELITIAN DAN PENGEMBANGAN DAERAH;700000000;1;2025
