program_id;kode;nama;satuan_kerja_id;anggaran;tahun_kinerja
5242;5.03.01.1.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;5;524384150;2024
5242;5.03.01.1.02;Administrasi Keuangan Perangkat Daerah;5;11357120960;2024
5242;5.03.01.1.03;Administrasi Barang Milik Daerah pada Perangkat Daerah;5;45549800;2024
5242;5.03.01.1.05;Administrasi Kepegawaian Perangkat Daerah;5;141100000;2024
5242;5.03.01.1.06;Administrasi Umum Perangkat Daerah;5;403297895;2024
5242;5.03.01.1.07;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;5;731942000;2024
5242;5.03.01.1.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;5;2118934750;2024
5242;5.03.01.1.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;5;719740000;2024
5241;5.03.02.1.01;Pengadaan, Pemberhentian dan Informasi Kepegawaian ASN;5;1855789400;2024
5241;5.03.02.1.02;Mutasi dan Promosi ASN;5;795188200;2024
5241;5.03.02.1.03;Pengembangan Kompetensi ASN;5;1282467400;2024
5241;5.03.02.1.04;Penilaian dan Evaluasi Kinerja Aparatur;5;521037800;2024
5257;8.01.01.1.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;2;382623200;2024
5257;8.01.01.1.02;Administrasi Keuangan Perangkat Daerah;2;8837167603;2024
5257;8.01.01.1.03;Administrasi Barang Milik Daerah pada Perangkat Daerah;2;105490750;2024
5257;8.01.01.1.05;Administrasi Kepegawaian Perangkat Daerah;2;107470275;2024
5257;8.01.01.1.06;Administrasi Umum Perangkat Daerah;2;552604856;2024
5257;8.01.01.1.07;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;2;690353600;2024
5257;8.01.01.1.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;2;285825933;2024
5257;8.01.01.1.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;2;696810000;2024
5252;8.01.02.1.01;Perumusan Kebijakan Teknis dan Pemantapan Pelaksanaan Bidang Ideologi Pancasila dan Karakter Kebangsaan;2;3665727925;2024
5253;8.01.03.1.01;Perumusan Kebijakan Teknis dan Pemantapan Pelaksanaan Bidang Pendidikan Politik, Etika Budaya Politik, Peningkatan Demokrasi, Fasilitasi Kelembagaan Pemerintahan, Perwakilan dan Partai Politik, Pemilihan Umum/Pemilihan Umum Kepala Daerah, serta Pemantauan Situasi Politik;2;63502566450;2024
5254;8.01.04.1.01;Perumusan Kebijakan Teknis dan Pemantapan Pelaksanaan Bidang Pemberdayaan dan Pengawasan Organisasi Kemasyarakatan;2;30906847327;2024
5255;8.01.05.1.01;Perumusan Kebijakan Teknis dan Pemantapan Pelaksanaan Bidang Ketahanan Ekonomi, Sosial dan Budaya;2;435083625;2024
5256;8.01.06.1.01;Perumusan Kebijakan Teknis dan Pelaksanaan Pemantapan Kewaspadaan Nasional dan Penanganan Konflik Sosial;2;1621968000;2024
5080;1.05.01.1.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;8;392011912;2024
5080;1.05.01.1.02;Administrasi Keuangan Perangkat Daerah;8;12302063055;2024
5080;1.05.01.1.03;Administrasi Barang Milik Daerah pada Perangkat Daerah;8;174998500;2024
5080;1.05.01.1.06;Administrasi Umum Perangkat Daerah;8;530420700;2024
5080;1.05.01.1.07;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;8;146656400;2024
5080;1.05.01.1.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;8;382289500;2024
5080;1.05.01.1.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;8;110230000;2024
5079;1.05.03.1.01;Pelayanan Informasi Rawan Bencana Provinsi;8;265708150;2024
5079;1.05.03.1.02;Pelayanan Pencegahan dan Kesiapsiagaan Terhadap Bencana;8;7177332459;2024
5079;1.05.03.1.03;Pelayanan Penyelamatan dan Evakuasi Korban Bencana;8;49734616320;2024
5079;1.05.03.1.04;Penataan Sistem Dasar Penanggulangan Bencana;8;4019193892;2024
5237;5.02.01.1.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;3;2750389765;2024
5237;5.02.01.1.02;Administrasi Keuangan Perangkat Daerah;3;63680249268;2024
5237;5.02.01.1.04;Administrasi Pendapatan Daerah Kewenangan Perangkat Daerah;3;999942065;2024
5237;5.02.01.1.05;Administrasi Kepegawaian Perangkat Daerah;3;1338633050;2024
5237;5.02.01.1.06;Administrasi Umum Perangkat Daerah;3;7622186158;2024
5237;5.02.01.1.07;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;3;7062681650;2024
5237;5.02.01.1.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;3;6269361214;2024
5237;5.02.01.1.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;3;2926169802;2024
5236;5.02.04.1.01;Kegiatan Pengelolaan Pendapatan Daerah;3;10763201296;2024
5240;5.02.01.1.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;4;976282471;2024
5240;5.02.01.1.02;Administrasi Keuangan Perangkat Daerah;4;378109021324;2024
5240;5.02.01.1.03;Administrasi Barang Milik Daerah pada Perangkat Daerah;4;100558000;2024
5240;5.02.01.1.05;Administrasi Kepegawaian Perangkat Daerah;4;1759481260;2024
5240;5.02.01.1.06;Administrasi Umum Perangkat Daerah;4;1620181377;2024
5240;5.02.01.1.07;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;4;6427681437;2024
5240;5.02.01.1.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;4;3215462019;2024
5240;5.02.01.1.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;4;1929974123;2024
5238;5.02.02.1.01;Koordinasi dan Penyusunan Rencana Anggaran Daerah;4;5452849875;2024
5238;5.02.02.1.02;Pembinaan Pengelolaan Keuangan Daerah Kabupaten/Kota;4;1065473275;2024
5238;5.02.02.1.03;Koordinasi dan Pengelolaan Perbendaharaan Daerah;4;4142134051;2024
5238;5.02.02.1.04;Koordinasi dan Pelaksanaan Akuntansi dan Pelaporan Keuangan Daerah;4;4197522743;2024
5238;5.02.02.1.05;Penunjang Urusan Kewenangan Pengelolaan Keuangan Daerah;4;729435427490;2024
5239;5.02.03.1.01;Pengelolaan Barang Milik Daerah;4;4146139250;2024
5244;5.04.01.1.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;6;861881750;2024
5244;5.04.01.1.02;Administrasi Keuangan Perangkat Daerah;6;12741828063;2024
5244;5.04.01.1.03;Administrasi Barang Milik Daerah pada Perangkat Daerah;6;70189600;2024
5244;5.04.01.1.05;Administrasi Kepegawaian Perangkat Daerah;6;57860000;2024
5244;5.04.01.1.06;Administrasi Umum Perangkat Daerah;6;444608026;2024
5244;5.04.01.1.07;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;6;616224878;2024
5244;5.04.01.1.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;6;1244289924;2024
5244;5.04.01.1.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;6;2462040423;2024
5243;5.04.02.1.01;Pengembangan Kompetensi Teknis;6;1800571400;2024
5243;5.04.02.1.02;Sertifikasi, Kelembagaan, Pengembangan Kompetensi Manajerial dan Fungsional;6;7938914250;2024
5248;5.07.01.1.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;9;632041900;2024
5249;5.07.01.1.02;Administrasi Keuangan Perangkat Daerah;9;6752023391;2024
5250;5.07.01.1.05;Administrasi Kepegawaian Perangkat Daerah;9;25415200;2024
5251;5.07.01.1.06;Administrasi Umum Perangkat Daerah;9;57344799;2024
5252;5.07.01.1.07;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;9;19116950;2024
5253;5.07.01.1.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;9;631543488;2024
5254;5.07.01.1.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;9;1292099200;2024
5247;5.07.02.1.01;Pelaksanaan Pelayanan Penghubung;9;6870829243;2024
5235;5.01.01.1.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;1;1812715075;2024
5235;5.01.01.1.02;Administrasi Keuangan Perangkat Daerah;1;18905367220;2024
5235;5.01.01.1.03;Administrasi Barang Milik Daerah pada Perangkat Daerah;1;173163250;2024
5235;5.01.01.1.05;Administrasi Kepegawaian Perangkat Daerah;1;1001202970;2024
5235;5.01.01.1.06;Administrasi Umum Perangkat Daerah;1;4425371756;2024
5235;5.01.01.1.07;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;1;2530265646;2024
5235;5.01.01.1.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;1;2190694500;2024
5235;5.01.01.1.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;1;2121507204;2024
5233;5.01.02.1.01;Penyusunan Perencanaan dan Pendanaan;1;3675195328;2024
5234;5.01.02.1.02;Analisis Data dan Informasi Pemerintahan Daerah Bidang Perencanaan Pembangunan Daerah;1;821985249;2024
5235;5.01.02.1.03;Pengendalian, Evaluasi dan Pelaporan Bidang Perencanaan Pembangunan Daerah;1;1199596520;2024
5236;5.01.02.1.04;Implementasi Sistem Informasi Pemerintahan Daerah di Bidang Pembangunan Daerah;1;280870950;2024
5234;5.01.03.1.01;Koordinasi Perencanaan Bidang Pemerintahan dan Pembangunan Manusia;1;3033464300;2024
5234;5.01.03.1.02;Koordinasi Perencanaan Bidang Perekonomian dan SDA (Sumber Daya Alam);1;3132630460;2024
5234;5.01.03.1.03;Koordinasi Perencanaan Bidang Infrastruktur dan Kewilayahan;1;1751103850;2024
5246;5.05.01.1.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;7;839725000;2024
5246;5.05.01.1.02;Administrasi Keuangan Perangkat Daerah;7;8626050819;2024
5246;5.05.01.1.03;Administrasi Barang Milik Daerah pada Perangkat Daerah;7;34490000;2024
5246;5.05.01.1.05;Administrasi Kepegawaian Perangkat Daerah;7;125426213;2024
5246;5.05.01.1.06;Administrasi Umum Perangkat Daerah;7;414803947;2024
5246;5.05.01.1.07;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;7;828769136;2024
5246;5.05.01.1.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;7;374644050;2024
5246;5.05.01.1.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;7;560905000;2024
5245;5.05.02.1.01;Penelitian dan Pengembangan Bidang Penyelenggaraan Pemerintahan dan Pengkajian Peraturan;7;679999750;2024
5245;5.05.02.1.02;Penelitian dan Pengembangan Bidang Sosial dan Kependudukan;7;262478400;2024
5245;5.05.02.1.03;Penelitian dan Pengembangan Bidang Ekonomi dan Pembangunan;7;531008950;2024
5245;5.05.02.1.04;Pengembangan Inovasi dan Teknologi;7;3335399213;2024
5060;1.03.01.1.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;13;1327952900;2024
5060;1.03.01.1.02;Administrasi Keuangan Perangkat Daerah;13;22874299893;2024
5060;1.03.01.1.03;Administrasi Barang Milik Daerah pada Perangkat Daerah;13;631614550;2024
5060;1.03.01.1.05;Administrasi Kepegawaian Perangkat Daerah;13;91461000;2024
5060;1.03.01.1.06;Administrasi Umum Perangkat Daerah;13;1619302643;2024
5060;1.03.01.1.07;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;13;8430720195;2024
5060;1.03.01.1.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;13;7208110287;2024
5060;1.03.01.1.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;13;3686660974;2024
5057;1.03.10.1.01;Penyelenggaraan Jalan Provinsi;13;376822182045;2024
5058;1.03.11.1.01;Penyelenggaraan Pelatihan Tenaga Ahli Konstruksi;13;1135118550;2024
5058;1.03.11.1.02;Penyelenggaraan Sistem Informasi Jasa Konstruksi (SIPJAKI) Cakupan Daerah Provinsi;13;208991950;2024
5058;1.03.11.1.03;Kebijakan Khusus Terhadap Penyelenggaraan Jasa Konstruksi;13;268718950;2024
5059;1.03.12.1.01;Penetapan Rencana Tata Ruang Wilayah dan Rencana Rinci Tata Ruang Provinsi;13;440287800;2024
5059;1.03.12.1.02;Koordinasi dan Sinkronisasi Perencanaan Tata Ruang;13;265187550;2024
5059;1.03.12.1.03;Koordinasi dan Sinkronisasi Pemanfataan Ruang Daerah Provinsi;13;440027825;2024
5059;1.03.12.1.04;Koordinasi dan Sinkronisasi Pengendalian Pemanfataan Ruang Daerah Provinsi;13;489850950;2024
5068;1.03.01.1.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;14;840985350;2024
5068;1.03.01.1.02;Administrasi Keuangan Perangkat Daerah;14;25475019279;2024
5068;1.03.01.1.03;Administrasi Barang Milik Daerah pada Perangkat Daerah;14;199334850;2024
5068;1.03.01.1.05;Administrasi Kepegawaian Perangkat Daerah;14;610827575;2024
5068;1.03.01.1.06;Administrasi Umum Perangkat Daerah;14;1253823832;2024
5068;1.03.01.1.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;14;12673333153;2024
5068;1.03.01.1.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;14;1052194565;2024
5061;1.03.02.1.01;Pengelolaan SDA dan Bangunan Pengaman Pantai pada Wilayah Sungai Lintas Daerah Kabupaten/Kota;14;83289995719;2024
5061;1.03.02.1.02;Pengembangan dan Pengelolaan Sistem Irigasi Primer dan Sekunder pada Daerah Irigasi yang Luasnya 1000 Ha-3000 Ha dan Daerah Irigasi Lintas Daerah Kabupaten/Kota;14;81715203724;2024
5062;1.03.03.1.01;Pengelolaan dan Pengembangan Sistem Penyediaan Air Minum (SPAM) Lintas Kabupaten/Kota;14;14810741375;2024
5063;1.03.04.1.01;Pengembangan Sistem dan Pengelolaan Persampahan Regional;14;2218341850;2024
5064;1.03.05.1.01;Pengelolaan dan Pengembangan Sistem Air Limbah Domestik Regional;14;3206234506;2024
5065;1.03.06.1.01;Pengelolaan dan Pengembangan Sistem Drainase yang Terhubung Langsung dengan Sungai Lintas Daerah Kabupaten/Kota dan Kawasan Strategis Provinsi;14;14767032700;2024
5066;1.03.08.1.01;Penetapan dan Penyelenggaraan Bangunan Gedung untuk Kepentingan Strategis Daerah Provinsi;14;277626738456;2024
5067;1.03.09.1.01;Penyelenggaraan Penataan Bangunan dan Lingkungan di Kawasan Strategis Daerah Provinsi dan Lintas Daerah Kabupaten/Kota;14;10135342728;2024
5204;3.29.01.1.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;36;221895440;2024
5204;3.29.01.1.02;Administrasi Keuangan Perangkat Daerah;36;11740425264;2024
5204;3.29.01.1.03;Administrasi Barang Milik Daerah pada Perangkat Daerah;36;75444450;2024
5204;3.29.01.1.05;Administrasi Kepegawaian Perangkat Daerah;36;50110000;2024
5204;3.29.01.1.06;Administrasi Umum Perangkat Daerah;36;915467521;2024
5204;3.29.01.1.07;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;36;154525300;2024
5204;3.29.01.1.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;36;2555045758;2024
5204;3.29.01.1.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;36;681389725;2024
5200;3.29.02.1.01;Penetapan Zona Konservasi Air Tanah pada Cekungan Air Tanah dalam Daerah Provinsi;36;151999700;2024
5200;3.29.02.1.03;Penetapan Nilai Perolehan Air Tanah dalam Daerah Provinsi;36;437340500;2024
5201;3.29.03.1.01;Penetapan Wilayah Izin Usaha Pertambangan Mineral Bukan Logam dan Batuan dalam 1 (satu) Daerah Provinsi dan Wilayah Laut sampai dengan 12 Mil;36;69903200;2024
5201;3.29.03.1.03;Penatausahaan Izin Usaha Pertambangan Mineral Bukan Logam dan Batuan dalam rangka Penanaman Modal Dalam Negeri pada Wilayah Izin Usaha Pertambangan Daerah yang Berada dalam 1 (satu) Daerah Provinsi termasuk Wilayah Laut sampai dengan 12 Mil Laut;36;434581450;2024
5201;3.29.03.1.04;Penatausahaan Izin Pertambangan Rakyat untuk Komoditas Mineral Logam, Batubara, Mineral Bukan Logam, dan Batuan dalam Wilayah Pertambangan Rakyat;36;45400000;2024
5201;3.29.03.1.24;Pembinaan dan Pengawasan Pelaksanaan Izin Usaha Pertambangan;36;99999900;2024
5202;3.29.05.1.05;Pengelolaan penyediaan Biomassa dan/atau Biogas dalam wilayah provinsi;36;142201800;2024
5202;3.29.05.1.07;Pengelolaan aneka energi baru terbarukan berupa sinar matahari, angin, aliran dan terjunan air, gerakan dan perbedaan suhu lapisan laut dalam wilayah provinsi;36;3244162770;2024
5202;3.29.05.1.10;Pembinaan dan pengawasan pelaksanaan Konservasi Energi yang dilakukan oleh pemangku kepentingan di tingkat daerah provinsi;36;75245300;2024
5203;3.29.06.1.01;Penatausahaan Izin Usaha Penyediaan Tenaga Listrik Non Badan Usaha Milik Negara dan Penjualan Tenaga Listrik serta Penyewaan Jaringan kepada Penyedia Tenaga Listrik dalam Daerah Provinsi;36;165234950;2024
5203;3.29.06.1.02;Penatausahaan Izin Operasi yang Fasilitas Instalasinya dalam Daerah Provinsi;36;171892400;2024
5203;3.29.06.1.04;Persetujuan Harga Jual Tenaga Listrik dan Sewa Jaringan Tenaga Listrik, Rencana Usaha Penyediaan Tenaga Listrik, Penjualan Kelebihan Tenaga Listrik dari Pemegang Izin yang Ditetapkan oleh Daerah Provinsi;36;36070000;2024
