kegiatan_id;kode;nama;satuan_kerja_id;anggaran;tahun_kinerja
1;5.03.01.1.01.0001;Penyusunan Dokumen Perencanaan Perangkat Daerah;5;490505100;2024
1;5.03.01.1.01.0007;Evaluasi Kinerja Perangkat Daerah;5;33879050;2024
2;5.03.01.1.02.0001;Penyediaan Gaji dan Tunjangan ASN;5;11081552510;2024
2;5.03.01.1.02.0003;Pelaksanaan Penatausahaan dan Pengujian/Verifikasi Keuangan SKPD;5;246900000;2024
2;5.03.01.1.02.0005;Koordinasi dan Penyusunan Laporan Keuangan Akhir Tahun SKPD;5;28668450;2024
2;5.03.01.1.02.0008;Penyusunan Pelaporan dan Analisis Prognosis Realisasi Anggaran;5;0;2024
3;5.03.01.1.03.0006;Penatausahaan Barang Milik Daerah pada SKPD;5;45549800;2024
4;5.03.01.1.05.0011;Bimbingan Teknis Implementasi Peraturan Perundang-Undangan;5;141100000;2024
5;5.03.01.1.06.0001;Penyediaan Komponen Instalasi Listrik/Penerangan Bangunan Kantor;5;15094895;2024
5;5.03.01.1.06.0005;Penyediaan Barang Cetakan dan Penggandaan;5;64163000;2024
5;5.03.01.1.06.0009;Penyelenggaraan Rapat Koordinasi dan Konsultasi SKPD;5;324040000;2024
6;5.03.01.1.07.0001;Pengadaan Kendaraan Perorangan Dinas atau Kendaraan Dinas Jabatan;5;367180000;2024
6;5.03.01.1.07.0005;Pengadaan Mebel;5;0;2024
6;5.03.01.1.07.0006;Pengadaan Peralatan dan Mesin Lainnya;5;364762000;2024
7;5.03.01.1.08.0002;Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik;5;899946600;2024
7;5.03.01.1.08.0003;Penyediaan Jasa Peralatan dan Perlengkapan Kantor;5;55217850;2024
7;5.03.01.1.08.0004;Penyediaan Jasa Pelayanan Umum Kantor;5;1163770300;2024
8;5.03.01.1.09.0001;Penyediaan Jasa Pemeliharaan, Biaya Pemeliharaan dan Pajak Kendaraan Perorangan Dinas atau Kendaraan Dinas Jabatan;5;447500000;2024
8;5.03.01.1.09.0002;Penyediaan Jasa Pemeliharaan, Biaya Pemeliharaan, Pajak dan Perizinan Kendaraan Dinas Operasional atau Lapangan;5;132000000;2024
8;5.03.01.1.09.0006;Pemeliharaan Peralatan dan Mesin Lainnya;5;140240000;2024
8;5.03.01.1.09.0009;Pemeliharaan/Rehabilitasi Gedung Kantor dan Bangunan Lainnya;5;0;2024
9;5.03.02.1.01.0003;Koordinasi dan Fasilitasi Pengadaan PNS dan PPPK;5;1023816550;2024
9;5.03.02.1.01.0006;Koordinasi Pelaksanaan Administrasi Pemberhentian;5;104609800;2024
9;5.03.02.1.01.0008;Fasilitasi Lembaga Profesi ASN;5;409062500;2024
9;5.03.02.1.01.0011;Pengelolaan Data Kepegawaian;5;318300550;2024
10;5.03.02.1.02.0001;Pengelolaan Mutasi ASN;5;88150100;2024
10;5.03.02.1.02.0002;Pengelolaan Kenaikan Pangkat ASN;5;334512100;2024
10;5.03.02.1.02.0003;Pengelolaan Promosi ASN;5;372526000;2024
11;5.03.02.1.03.0001;Peningkatan Kapasitas Kinerja ASN;5;426018250;2024
11;5.03.02.1.03.0002;Pengelolaan Assessment Center;5;380549650;2024
11;5.03.02.1.03.0004;Pengelolaan Pendidikan Lanjutan ASN;5;275657000;2024
11;5.03.02.1.03.0014;Fasilitasi Pengembangan Karir dalam Jabatan Fungsional;5;200242500;2024
12;5.03.02.1.04.0002;Pelaksanaan Penilaian dan Evaluasi Kinerja Aparatur;5;169409100;2024
12;5.03.02.1.04.0005;Pengelolaan Tanda Jasa bagi Pegawai;5;52919700;2024
12;5.03.02.1.04.0007;Pembinaan Disiplin ASN;5;298709000;2024
13;8.01.01.1.01.0001;Penyusunan Dokumen Perencanaan Perangkat Daerah;2;18773300;2024
13;8.01.01.1.01.0006;Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD;2;71082800;2024
13;8.01.01.1.01.0007;Evaluasi Kinerja Perangkat Daerah;2;292767100;2024
14;8.01.01.1.02.0001;Penyediaan Gaji dan Tunjangan ASN;2;7301255953;2024
14;8.01.01.1.02.0002;Penyediaan Administrasi Pelaksanaan Tugas ASN;2;1447535000;2024
14;8.01.01.1.02.0005;Koordinasi dan Penyusunan Laporan Keuangan Akhir Tahun SKPD;2;88376650;2024
14;8.01.01.1.02.0006;Pengelolaan dan Penyiapan Bahan Tanggapan Pemeriksaan;2;0;2024
14;8.01.01.1.02.0007;Koordinasi dan Penyusunan Laporan Keuangan Bulanan/ Triwulanan/Semesteran SKPD;2;0;2024
14;8.01.01.1.02.0008;Penyusunan Pelaporan dan Analisis Prognosis Realisasi Anggaran;2;0;2024
15;8.01.01.1.03.0003;Koordinasi dan Penilaian Barang Milik Daerah SKPD;2;1436150;2024
15;8.01.01.1.03.0005;Rekonsiliasi dan Penyusunan Laporan Barang Milik Daerah pada SKPD;2;93700350;2024
15;8.01.01.1.03.0006;Penatausahaan Barang Milik Daerah pada SKPD;2;10354250;2024
16;8.01.01.1.05.0002;Pengadaan Pakaian Dinas Beserta Atribut Kelengkapannya;2;52254600;2024
16;8.01.01.1.05.0009;Pendidikan dan Pelatihan Pegawai Berdasarkan Tugas dan Fungsi;2;55215675;2024
17;8.01.01.1.06.0001;Penyediaan Komponen Instalasi Listrik/Penerangan Bangunan Kantor;2;0;2024
17;8.01.01.1.06.0002;Penyediaan Peralatan dan Perlengkapan Kantor;2;22490271;2024
17;8.01.01.1.06.0005;Penyediaan Barang Cetakan dan Penggandaan;2;70008200;2024
17;8.01.01.1.06.0006;Penyediaan Bahan Bacaan dan Peraturan Perundang-Undangan;2;45400000;2024
17;8.01.01.1.06.0008;Fasilitasi Kunjungan Tamu;2;59000000;2024
17;8.01.01.1.06.0009;Penyelenggaraan Rapat Koordinasi dan Konsultasi SKPD;2;355706385;2024
18;8.01.01.1.07.0001;Pengadaan Kendaraan Perorangan Dinas atau Kendaraan Dinas Jabatan;2;0;2024
18;8.01.01.1.07.0002;Pengadaan Kendaraan Dinas Operasional atau Lapangan;2;440192000;2024
18;8.01.01.1.07.0005;Pengadaan Mebel;2;73200000;2024
18;8.01.01.1.07.0006;Pengadaan Peralatan dan Mesin Lainnya;2;176961600;2024
18;8.01.01.1.07.0009;Pengadaan Gedung Kantor atau Bangunan Lainnya;2;0;2024
19;8.01.01.1.08.0002;Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik;2;112752000;2024
19;8.01.01.1.08.0003;Penyediaan Jasa Peralatan dan Perlengkapan Kantor;2;141653933;2024
19;8.01.01.1.08.0004;Penyediaan Jasa Pelayanan Umum Kantor;2;31420000;2024
20;8.01.01.1.09.0001;Penyediaan Jasa Pemeliharaan, Biaya Pemeliharaan dan Pajak Kendaraan Perorangan Dinas atau Kendaraan Dinas Jabatan;2;657550000;2024
20;8.01.01.1.09.0006;Pemeliharaan Peralatan dan Mesin Lainnya;2;39260000;2024
20;8.01.01.1.09.0009;Pemeliharaan/Rehabilitasi Gedung Kantor dan Bangunan Lainnya;2;0;2024
21;8.01.02.1.01.0002;Perumusan Kebijakan Teknis di Bidang Ideologi Wawasan Kebangsaan, Bela Negara, Karakter Bangsa, Pembauran Kebangsaan, Bhineka Tunggal Ika dan Sejarah Kebangsaan;2;3106372750;2024
21;8.01.02.1.01.0003;Pelaksanaan Kebijakan di Bidang Ideologi Wawasan Kebangsaan, Bela Negara, Karakter Bangsa, Pembauran Kebangsaan, Bhineka Tunggal Ika dan Sejarah Kebangsaan;2;179040350;2024
21;8.01.02.1.01.0004;Pelaksanaan Koordinasi di Bidang Ideologi Wawasan Kebangsaan, Bela Negara, Karakter Bangsa, Pembauran Kebangsaan, Bhineka Tunggal Ika dan Sejarah Kebangsaan;2;141430900;2024
21;8.01.02.1.01.0005;Pelaksanaan Monitoring Evaluasi dan Pelaporan di Bidang Ideologi Wawasan Kebangsaan, Bela Negara, Karakter Bangsa, Pembauran Kebangsaan, Bhineka Tunggal Ika dan Sejarah Kebangsaan;2;197278050;2024
21;8.01.02.1.01.0006;Pembentukan dan Penumbuhan Karakter Keluarga Melalui Peningkatan Kesadaran Masyarakat akan Pentingnya Penghayatan dan Pengamalan Pancasila dalam Semua Aspek Kehidupan Bermasyarakat, Berbangsa, dan Bernegara;2;41605875;2024
22;8.01.03.1.01.0002;Penyusunan Bahan Perumusan Kebijakan di Bidang Pendidikan Politik, Etika Budaya Politik, Peningkatan Demokrasi, Fasilitasi Kelembagaan Pemerintahan, Perwakilan dan Partai Politik, Pemilihan Umum/Pemilihan Umum Kepala Daerah, serta Pemantauan Situasi Politik di Daerah;2;62448360800;2024
22;8.01.03.1.01.0003;Pelaksanaan Kebijakan di Bidang Pendidikan Politik, Etika Budaya Politik, Peningkatan Demokrasi, Fasilitasi Kelembagaan Pemerintahan, Perwakilan dan Partai Politik, Pemilihan Umum/Pemilihan Umum Kepala Daerah, serta Pemantauan Situasi Politik di Daerah;2;449968550;2024
22;8.01.03.1.01.0004;Pelaksanaan Koordinasi di Bidang Pendidikan Politik, Etika Budaya Politik, Peningkatan Demokrasi, Fasilitasi Kelembagaan Pemerintahan, Perwakilan dan Partai Politik, Pemilihan Umum/Pemilihan Umum Kepala Daerah, serta Pemantauan Situasi Politik di Daerah;2;235562700;2024
22;8.01.03.1.01.0005;Pelaksanaan Monitoring, Evaluasi dan Pelaporan di Bidang Pendidikan Politik, Etika Budaya Politik, Peningkatan Demokrasi, Fasilitasi Kelembagaan Pemerintahan, Perwakilan dan Partai Politik, Pemilihan Umum/Pemilihan Umum Kepala Daerah, serta Pemantauan Situasi Politik di Daerah;2;368674400;2024
