kode,nama,anggaran,satuan_kerja_id,tahun_kinerja
4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,8199999947,41,2024
4.01.08,PROGRAM KEBIJAKAN ADMINISTRASI PEMBANGUNAN,0,41,2024
