kode,nama,anggaran,satuan_kerja_id,tahun_kinerja
2.11.03,PROGRAM PENGENDALIAN PENCEMARAN DAN/ATAU KERUSAKAN LINGKUNGAN HIDUP,824618658,21,2024
2.11.04,PROGRAM PENGELOLAAN KEANEKARAGAMAN HAYATI (KEHATI),99999800,21,2024
2.11.05,PROGRAM PENGENDALIAN BAHAN BERBAHAYA DAN BERACUN (B3) DAN LIMBAH BAHAN BERBAHAYA DAN BERACUN (LIMBAH B3),135044750,21,2024
2.11.06,PROGRAM PEMBINAAN DAN PENGAWASAN TERHADAP IZIN LINGKUNGAN DAN IZIN PERLINDUNGAN DAN PENGELOLAAN LINGKUNGAN HIDUP (PPLH),233668200,21,2024
2.11.07,PROGRAM PENGAKUAN KEBERADAAN Masyarakat HUKUM ADAT (MHA)  KEARIFAN LOKAL DAN HAK MHA YANG TERKAIT DENGAN PPLH,39999850,21,2024
2.11.08,PROGRAM PENINGKATAN PENDIDIKAN  PELATIHAN DAN PENYULUHAN LINGKUNGAN HIDUP UNTUK MASYARAKAT,149423700,21,2024
2.11.09,PROGRAM PENGHARGAAN LINGKUNGAN HIDUP UNTUK MASYARAKAT,35000500,21,2024
2.11.10,PROGRAM PENANGANAN PENGADUAN LINGKUNGAN HIDUP,45938300,21,2024
2.11.11,PROGRAM PENGELOLAAN PERSAMPAHAN,312058450,21,2024
2.11.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,11878494528,21,2024
2.12.02,PROGRAM PENDAFTARAN PENDUDUK,796966550,22,2024
2.12.03,PROGRAM PENCATATAN SIPIL,596961800,22,2024
2.12.04,PROGRAM PENGELOLAAN INFORMASI ADMINISTRASI KEPENDUDUKAN,533398250,22,2024
2.12.05,PROGRAM PENGELOLAAN PROFIL KEPENDUDUKAN,220715000,22,2024
2.12.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,10326769045,22,2024
2.13.02,PROGRAM PENATAAN DESA,2820522580,23,2024
2.13.03,PROGRAM PENINGKATAN KERJA SAMA DESA,345000050,23,2024
2.13.04,PROGRAM ADMINISTRASI PEMERINTAHAN DESA,2484320537,23,2024
2.13.05,PROGRAM PEMBERDAYAAN LEMBAGA KEMASYARAKATAN  LEMBAGA ADAT DAN MASYARAKAT HUKUM ADAT,6934171827,23,2024
2.13.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,12947150967,23,2024
2.14.02,PROGRAM PENGENDALIAN PENDUDUK,447647450,24,2024
2.14.03,PROGRAM PEMBINAAN KELUARGA BERENCANA (KB),682483104,24,2024
2.14.04,PROGRAM PEMBERDAYAAN DAN PENINGKATAN KELUARGA SEJAHTERA (KS),979517432,24,2024
2.14.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,10597657641,24,2024
2.15.02,PROGRAM PENYELENGGARAAN LALU LINTAS DAN ANGKUTAN JALAN (LLAJ),3899906550,25,2024
2.15.03,PROGRAM PENGELOLAAN PELAYARAN,25200467015,25,2024
2.15.05,PROGRAM PENGELOLAAN PERKERETAAPIAN,14999900,25,2024
2.15.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,16056471711,25,2024
2.16.02,PROGRAM PENGELOLAAN INFORMASI DAN KOMUNIKASI PUBLIK,5196557650,26,2024
