id,satuan_kerja_id,satuan_kerja_nama,lv0_jabatan_id,lv0_jabatan_nama,lv0_eselon_nm,lv1_unit_kerja_id,lv1_unit_kerja_nama,lv1_jabatan_id,lv1_jabatan_nama,lv1_eselon_nm,lv2_unit_kerja_id,lv2_unit_kerja_nama,lv2_jabatan_id,lv2_jabatan_nama,lv2_eselon_nm,lv3_unit_kerja_id,lv3_unit_kerja_nama,lv3_jabatan_id,lv3_jabatan_nama,lv3_eselon_nm,lv4_unit_kerja_id,lv4_unit_kerja_nama,lv4_jabatan_id,lv4_jabatan_nama,lv4_eselon_nm,lv5_unit_kerja_id,lv5_unit_kerja_nama,lv5_jabatan_id,lv5_jabatan_nama,lv5_eselon_nm,lv6_unit_kerja_id,lv6_unit_kerja_nama,lv6_jabatan_id,lv6_jabatan_nama,lv6_eselon_nm,lv7_unit_kerja_id,lv7_unit_kerja_nama,lv7_jabatan_id,lv7_jabatan_nama,lv7_eselon_nm,level,unit_kerja_kode,parent_id,jabatan_id,eselon_nm,kode_unit_kerja,eselon_id,jabatan_nama,unit_kerja_nama,gol_id_minimum,alamat,latitude,longitude,m_kabkot_id,nama_kota,unit_kerja_id_baru,status,unit_kerja_aktif_mulai,unit_kerja_aktif_selesai,kode_jabatan,created_at,updated_at
774,47,SATUAN POLISI PAMONG PRAJA,33981,KEPALA SATUAN POLISI PAMONG PRAJA,II.a,257,BIDANG PEMADAM KEBAKARAN DAN PENYELAMATAN,33998,KEPALA BIDANG PEMADAM KEBAKARAN DAN PENYELAMATAN,III.a,258,"SEKSI PENCEGAHAN, OPERASI DAN PENINGKATAN KAPASITAS SDM",33999,"KEPALA SEKSI PENCEGAHAN, OPERASI DAN PENINGKATAN KAPASITAS SDM",IV.a,,,,,,,,,,,,,,,,,,,,,,,,,,2,,257,33999,IV.a,1.04E+11,41,"KEPALA SEKSI PENCEGAHAN, OPERASI DAN PENINGKATAN KAPASITAS SDM","SEKSI PENCEGAHAN, OPERASI DAN PENINGKATAN KAPASITAS SDM",133,JL. PRAMUKA NO.21 PALU,,,,,,1,,,,,
775,10,DINAS PENDIDIKAN,33499,KEPALA DINAS PENDIDIKAN,II.a,494,CABANG DINAS PENDIDIKAN MENENGAH WILAYAH VI TOLITOLI DAN BUOL,33503,KEPALA CABANG DINAS PENDIDIKAN MENENGAH WILAYAH VI TOLITOLI DAN BUOL,III.b,1097,SMA NEGERI 2 TOLI-TOLI KAB. TOLITOLI,34321,KEPALA SMA NEGERI 2 TOLI-TOLI KAB. TOLITOLI,,,,,,,,,,,,,,,,,,,,,,,,,,,2,SMA,494,34321,,1.03E+11,,KEPALA SMA NEGERI 2 TOLI-TOLI KAB. TOLITOLI,SMA NEGERI 2 TOLI-TOLI KAB. TOLITOLI,,"JL. SETIA BUDI, NO.9 PALU",,,,,,1,,,,,
776,10,DINAS PENDIDIKAN,33499,KEPALA DINAS PENDIDIKAN,II.a,481,CABANG DINAS PENDIDIKAN MENENGAH WILAYAH II KAB. DONGGALA DAN KAB. PARIGI MOUTONG,33639,KEPALA CABANG DINAS PENDIDIKAN MENENGAH WILAYAH II KAB. DONGGALA DAN KAB. PARIGI MOUTONG,III.b,551,SMK NEGERI 1 SOJOL KAB. DONGGALA,33668,KEPALA SMK NEGERI 1 SOJOL KAB. DONGGALA,,,,,,,,,,,,,,,,,,,,,,,,,,,2,SMK,481,33668,,1.03E+11,,KEPALA SMK NEGERI 1 SOJOL KAB. DONGGALA,SMK NEGERI 1 SOJOL KAB. DONGGALA,,"JL. SETIA BUDI, NO.9 PALU",,,,,,1,,,,,
777,10,DINAS PENDIDIKAN,33499,KEPALA DINAS PENDIDIKAN,II.a,365,CABANG DINAS PENDIDIKAN MENENGAH WILAYAH I KOTA PALU DAN KAB. SIGI,33513,KEPALA CABANG DINAS PENDIDIKAN MENENGAH WILAYAH I KOTA PALU DAN KAB. SIGI,III.b,399,SLB NEGERI 1 PALU KOTA PALU,33527,KEPALA SLB NEGERI 1 PALU KOTA PALU,,,,,,,,,,,,,,,,,,,,,,,,,,,2,SLB,365,33527,,1.03E+11,,KEPALA SLB NEGERI 1 PALU KOTA PALU,SLB NEGERI 1 PALU KOTA PALU,,"JL. SETIA BUDI, NO.9 PALU",,,,,,1,,,,,
778,28,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,34004,KEPALA DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,II.a,746,BIDANG PROMOSI PENANAMAN MODAL,34011,KEPALA BIDANG PROMOSI PENANAMAN MODAL,III.a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,28,34011,III.a,1.02E+11,31,KEPALA BIDANG PROMOSI PENANAMAN MODAL,BIDANG PROMOSI PENANAMAN MODAL,141,JL. CIK DITIRO NO.29 PALU,,,,,,1,,,,,
779,36,DINAS ENERGI DAN SUMBER DAYA MINERAL,33744,KEPALA DINAS ENERGI DAN SUMBER DAYA MINERAL,II.a,638,BIDANG GEOLOGI,33748,KEPALA BIDANG GEOLOGI,III.a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,36,33748,III.a,1.02E+11,31,KEPALA BIDANG GEOLOGI,BIDANG GEOLOGI,141,JL. SAM RATULANGI NO.25 PALU,,,,,,1,,,,,
780,14,DINAS CIPTA KARYA DAN SUMBER DAYA AIR,33805,KEPALA DINAS CIPTA KARYA DAN SUMBER DAYA AIR,II.a,690,UPT PENGELOLAAN SUMBER DAYA AIR WILAYAH II,33878,KEPALA UPT PENGELOLAAN SUMBER DAYA AIR WILAYAH II,III.b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,UPTD Tipe A,14,33878,III.b,1.01E+11,32,KEPALA UPT PENGELOLAAN SUMBER DAYA AIR WILAYAH II,UPT PENGELOLAAN SUMBER DAYA AIR WILAYAH II,134,JL. PROF. MOH. YAMIN NO.33 PALU,,,,,,1,,,,,
781,21,DINAS LINGKUNGAN HIDUP,34084,KEPALA DINAS LINGKUNGAN HIDUP,II.a,292,"BIDANG PENGELOLAAN SAMPAH, LIMBAH B3, PENINGKATAN KAPASITAS DAN DATA LINGKUNGAN HIDUP",34088,"KEPALA BIDANG PENGELOLAAN SAMPAH, LIMBAH B3, PENINGKATAN KAPASITAS DAN DATA LINGKUNGAN HIDUP",III.a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,21,34088,III.a,1.01E+11,31,"KEPALA BIDANG PENGELOLAAN SAMPAH, LIMBAH B3, PENINGKATAN KAPASITAS DAN DATA LINGKUNGAN HIDUP","BIDANG PENGELOLAAN SAMPAH, LIMBAH B3, PENINGKATAN KAPASITAS DAN DATA LINGKUNGAN HIDUP",141,JL. UNDATA NO.35 PALU,,,,,,1,,,,,
782,10,DINAS PENDIDIKAN,33499,KEPALA DINAS PENDIDIKAN,II.a,481,CABANG DINAS PENDIDIKAN MENENGAH WILAYAH II KAB. DONGGALA DAN KAB. PARIGI MOUTONG,33639,KEPALA CABANG DINAS PENDIDIKAN MENENGAH WILAYAH II KAB. DONGGALA DAN KAB. PARIGI MOUTONG,III.b,540,SMA NEGERI 1 RIO PAKAVA KAB. DONGGALA,33657,KEPALA SMA NEGERI 1 RIO PAKAVA KAB. DONGGALA,,,,,,,,,,,,,,,,,,,,,,,,,,,2,SMA,481,33657,,1.03E+11,,KEPALA SMA NEGERI 1 RIO PAKAVA KAB. DONGGALA,SMA NEGERI 1 RIO PAKAVA KAB. DONGGALA,,"JL. SETIA BUDI, NO.9 PALU",,,,,,1,,,,,
783,49,SEKRETARIAT DAERAH,34461,SEKRETARIS DAERAH,I.b,72,ASISTEN PEREKONOMIAN DAN PEMBANGUNAN,39771,ASISTEN PEREKONOMIAN DAN PEMBANGUNAN,II.a,118,BIRO PENGADAAN BARANG/JASA,38323,KEPALA BIRO PENGADAAN BARANG/JASA,II.b,127,BAGIAN PEMBINAAN DAN ADVOKASI PENGADAAN BARANG/JASA,38482,KEPALA BAGIAN PEMBINAAN DAN ADVOKASI PENGADAAN BARANG/JASA,III.a,129,SUB BAGIAN TATA USAHA,38495,KEPALA SUB BAGIAN TATA USAHA,IV.a,,,,,,,,,,,,,,,,4,,127,38495,IV.a,1.00E+11,41,KEPALA SUB BAGIAN TATA USAHA,SUB BAGIAN TATA USAHA,133,JL. SAM RATULANGI NO.101 PALU,,,,,,1,,,,,
