program_id;kode;nama;satuan_kerja_id;anggaran;tahun_kinerja
274;5.03.01.1.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;5;583061350;2025
274;5.03.01.1.02;Administrasi Keuangan Perangkat Daerah;5;11774345363;2025
274;5.03.01.1.03;Administrasi Barang Milik Daerah pada Perangkat Daerah;5;49469800;2025
274;5.03.01.1.05;Administrasi Kepegawaian Perangkat Daerah;5;56440000;2025
274;5.03.01.1.06;Administrasi Umum Perangkat Daerah;5;468858775;2025
274;5.03.01.1.07;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;5;102600000;2025
274;5.03.01.1.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;5;1602414150;2025
274;5.03.01.1.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;5;721611400;2025
275;5.03.02.1.01;Pengadaan, Pemberhentian dan Informasi Kepegawaian ASN;5;1231667000;2025
275;5.03.02.1.02;Mutasi dan Promosi ASN;5;861329050;2025
275;5.03.02.1.03;Pengembangan Kompetensi ASN;5;1001349750;2025
275;5.03.02.1.04;Penilaian dan Evaluasi Kinerja Aparatur;5;536750100;2025
276;8.01.01.1.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;2;726717350;2025
276;8.01.01.1.02;Administrasi Keuangan Perangkat Daerah;2;8771718984;2025
276;8.01.01.1.03;Administrasi Barang Milik Daerah pada Perangkat Daerah;2;195313400;2025
276;8.01.01.1.05;Administrasi Kepegawaian Perangkat Daerah;2;257047941;2025
276;8.01.01.1.06;Administrasi Umum Perangkat Daerah;2;454329720;2025
276;8.01.01.1.07;Pengadaan Barang Milik Daerah PenunjangUrusan Pemerintah Daerah;2;966679550;2025
276;8.01.01.1.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;2;379905933;2025
276;8.01.01.1.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;2;859904400;2025
277;8.01.02.1.01;Perumusan Kebijakan Teknis dan Pemantapan Pelaksanaan Bidang Ideologi Pancasila dan Karakter Kebangsaan;2;490673075;2025
278;8.01.03.1.01;Perumusan Kebijakan Teknis dan Pemantapan Pelaksanaan Bidang Pendidikan Politik, Etika Budaya Politik, Peningkatan Demokrasi, Fasilitasi Kelembagaan Pemerintahan, Perwakilan dan Partai Politik, Pemilihan Umum/Pemilihan Umum Kepala Daerah, serta Pemantauan Situasi Politik;2;2004720600;2025
279;8.01.04.1.01;Perumusan Kebijakan Teknis dan Pemantapan Pelaksanaan Bidang Pemberdayaan dan Pengawasan Organisasi Kemasyarakatan;2;29251329800;2025
280;8.01.05.1.01;Perumusan Kebijakan Teknis dan Pemantapan Pelaksanaan Bidang Ketahanan Ekonomi, Sosial dan Budaya;2;245091375;2025
