kode,nama,anggaran,satuan_kerja_id,tahun_kinerja
5.03.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,15358800838,5,2025
5.03.02,PROGRAM KEPEGAWAIAN DAERAH,3631095900,5,2025
8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,12611617278,2,2025
8.01.02,PROGRAM PENGUATAN IDEOLOGI PANCASILA DAN KARAKTER KEBANGSAAN,490673075,2,2025
8.01.03,PROGRAM PENINGKATAN PERAN PARTAI POLITIK DAN LEMBAGA PENDIDIKAN MELALUI PENDIDIKAN POLITIK DAN PENGEMBANGAN ETIKA SERTA BUDAYA POLITIK,2004720600,2,2025
8.01.04,PROGRAM PEMBERDAYAAN DAN PENGAWASAN ORGANISASI KEMASYARAKATAN,29251329800,2,2025
8.01.05,PROGRAM PEMBINAAN DAN PENGEMBANGAN KETAHANAN EKONOMI SOSIAL DAN BUDAYA,245091375,2,2025
8.01.06,PROGRAM PENINGKATAN KEWASPADAAN NASIONAL DAN PENINGKATAN KUALITAS DAN FASILITASI PENANGANAN KONFLIK SOSIAL,769999950,2,2025
1.05.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,13448774582,8,2025
1.05.03,PROGRAM PENANGGULANGAN BENCANA,1800000600,8,2025
5.02.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,97795741756,3,2025
5.02.04,PROGRAM PENGELOLAAN PENDAPATAN DAERAH,7476477869,3,2025
5.02.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,602090580147,4,2025
5.02.02,PROGRAM PENGELOLAAN KEUANGAN DAERAH,873140177599,4,2025
5.02.03,PROGRAM PENGELOLAAN BARANG MILIK DAERAH,3800000000,4,2025
5.04.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,17669371729,6,2025
5.04.02,PROGRAM PENGEMBANGAN SUMBER DAYA MANUSIA,8194824972,6,2025
5.07.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,9178301196,9,2025
5.07.02,PROGRAM PELAYANAN PENGHUBUNG,1269998330,9,2025
5.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,49383774440,1,2025
5.01.02,PROGRAM PERENCANAAN PENGENDALIAN DAN EVALUASI PEMBANGUNAN DAERAH,5856891695,1,2025
5.01.03,PROGRAM KOORDINASI DAN SINKRONISASI PERENCANAAN PEMBANGUNAN DAERAH,9273888600,1,2025
5.05.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,13150872341,7,2025
5.05.02,PROGRAM PENELITIAN DAN PENGEMBANGAN DAERAH,3919998950,7,2025
1.03.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,57680931790,13,2025
1.03.10,PROGRAM PENYELENGGARAAN JALAN,203898746526,13,2025
1.03.11,PROGRAM PENGEMBANGAN JASA KONSTRUKSI,1918927200,13,2025
1.03.12,PROGRAM PENYELENGGARAAN PENATAAN RUANG,2017125000,13,2025
1.03.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,52938260771,14,2025
1.03.02,PROGRAM PENGELOLAAN SUMBER DAYA AIR (SDA),174895273675,14,2025
1.03.03,PROGRAM PENGELOLAAN DAN PENGEMBANGAN SISTEM PENYEDIAAN AIR MINUM,5863782000,14,2025
1.03.04,PROGRAM PENGEMBANGAN SISTEM DAN PENGELOLAAN PERSAMPAHAN REGIONAL,200000000,14,2025
1.03.05,PROGRAM PENGELOLAAN DAN PENGEMBANGAN SISTEM AIR LIMBAH,2400000000,14,2025
1.03.06,PROGRAM PENGELOLAAN DAN PENGEMBANGAN SISTEM DRAINASE,200000000,14,2025
1.03.07,PROGRAM PENGEMBANGAN PERMUKIMAN,12616568000,14,2025
1.03.08,PROGRAM PENATAAN BANGUNAN GEDUNG,51215000000,14,2025
1.03.09,PROGRAM PENATAAN BANGUNAN DAN LINGKUNGANNYA,3200000000,14,2025
3.29.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,16948411482,36,2025
3.29.02,PROGRAM PENGELOLAAN ASPEK KEGEOLOGIAN,510995300,36,2025
3.29.03,PROGRAM PENGELOLAAN MINERAL DAN BATUBARA,673083100,36,2025
3.29.05,PROGRAM PENGELOLAAN ENERGI BARU TERBARUKAN,7228000105,36,2025
3.29.06,PROGRAM PENGELOLAAN KETENAGALISTRIKAN,2606643550,36,2025
2.22.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,13715219224,11,2025
2.22.02,PROGRAM PENGEMBANGAN KEBUDAYAAN,601235750,11,2025
2.22.03,PROGRAM PENGEMBANGAN KESENIAN TRADISIONAL,122456000,11,2025
2.22.04,PROGRAM PEMBINAAN SEJARAH,37150000,11,2025
2.22.05,PROGRAM PELESTARIAN DAN PENGELOLAAN CAGAR BUDAYA,662850000,11,2025
2.22.06,PROGRAM PENGELOLAAN PERMUSEUMAN,0,11,2025
3.28.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,70012158298,34,2025
3.28.03,PROGRAM PENGELOLAAN HUTAN,5618188650,34,2025
3.28.04,PROGRAM KONSERVASI SUMBER DAYA ALAM HAYATI DAN EKOSISTEMNYA,375060250,34,2025
3.28.05,PROGRAM PENDIDIKAN DAN PELATIHAN PENYULUHAN DAN PEMBERDAYAAN MASYARAKAT DI BIDANG KEHUTANAN,1783230914,34,2025
3.28.06,PROGRAM PENGELOLAAN DAERAH ALIRAN SUNGAI (DAS),150000000,34,2025
3.25.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,34082429768,31,2025
3.25.02,PROGRAM PENGELOLAAN KELAUTAN PESISIR DAN PULAU-PULAU KECIL,3098600900,31,2025
3.25.03,PROGRAM PENGELOLAAN PERIKANAN TANGKAP,9952900992,31,2025
3.25.04,PROGRAM PENGELOLAAN PERIKANAN BUDIDAYA,4705421110,31,2025
3.25.05,PROGRAM PENGAWASAN SUMBER DAYA KELAUTAN DAN PERIKANAN,2472001000,31,2025
3.25.06,PROGRAM PENGOLAHAN DAN PEMASARAN HASIL PERIKANAN,2074844119,31,2025
2.12.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,9751305911,22,2025
2.12.02,PROGRAM PENDAFTARAN PENDUDUK,499999950,22,2025
2.12.03,PROGRAM PENCATATAN SIPIL,350000200,22,2025
2.12.04,PROGRAM PENGELOLAAN INFORMASI ADMINISTRASI KEPENDUDUKAN,214874900,22,2025
2.12.05,PROGRAM PENGELOLAAN PROFIL KEPENDUDUKAN,285124950,22,2025
1.02.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,472833632918,12,2025
1.02.02,PROGRAM PEMENUHAN UPAYA KESEHATAN PERORANGAN DAN UPAYA KESEHATAN MASYARAKAT ,56480823537,12,2025
1.02.03,PROGRAM PENINGKATAN KAPASITAS SUMBER DAYA MANUSIA KESEHATAN,672912233,12,2025
1.02.04,PROGRAM SEDIAAN FARMASI ALAT KESEHATAN DAN MAKANAN MINUMAN,599999900,12,2025
1.02.05,PROGRAM PEMBERDAYAAN MASYARAKAT BIDANG KESEHATAN,600000400,12,2025
2.16.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,13904787037,26,2025
2.16.02,PROGRAM PENGELOLAAN INFORMASI DAN KOMUNIKASI PUBLIK,3848808000,26,2025
2.16.03,PROGRAM PENGELOLAAN APLIKASI INFORMATIKA,8020244666,26,2025
2.20.02,PROGRAM PENYELENGGARAAN STATISTIK SEKTORAL,599995300,26,2025
2.21.02,PROGRAM PENYELENGGARAAN PERSANDIAN UNTUK PENGAMANAN INFORMASI,600000000,26,2025
2.17.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,14062956549,27,2025
2.17.02,PROGRAM PELAYANAN IZIN USAHA SIMPAN PINJAM,162793950,27,2025
2.17.03,PROGRAM PENGAWASAN DAN PEMERIKSAAN KOPERASI,219479400,27,2025
2.17.04,PROGRAM PENILAIAN KESEHATAN KSP/USP KOPERASI,191136550,27,2025
2.17.05,PROGRAM PENDIDIKAN DAN LATIHAN PERKOPERASIAN,468942950,27,2025
2.17.06,PROGRAM PEMBERDAYAAN DAN PERLINDUNGAN KOPERASI,1030733550,27,2025
2.17.07,PROGRAM Pemberdayaan USAHA MENENGAH USAHA KECIL DAN USAHA MIKRO (UMKM),270688250,27,2025
2.17.08,PROGRAM PENGEMBANGAN UMKM,680739700,27,2025
2.11.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,10518475458,21,2025
2.11.02,PROGRAM Perencanaan LINGKUNGAN HIDUP,62779300,21,2025
2.11.03,PROGRAM PENGENDALIAN PENCEMARAN DAN/ATAU KERUSAKAN LINGKUNGAN HIDUP,704942510,21,2025
