"satuan_kerja_id","satuan_kerja_nama","lv0_jabatan_id","lv0_jabatan_nama","lv0_eselon_nm","lv1_unit_kerja_id","lv1_unit_kerja_nama","lv1_jabatan_id","lv1_jabatan_nama","lv1_eselon_nm","lv2_unit_kerja_id","lv2_unit_kerja_nama","lv2_jabatan_id","lv2_jabatan_nama","lv2_eselon_nm","lv3_unit_kerja_id","lv3_unit_kerja_nama","lv3_jabatan_id","lv3_jabatan_nama","lv3_eselon_nm","lv4_unit_kerja_id","lv4_unit_kerja_nama","lv4_jabatan_id","lv4_jabatan_nama","lv4_eselon_nm","lv5_unit_kerja_id","lv5_unit_kerja_nama","lv5_jabatan_id","lv5_jabatan_nama","lv5_eselon_nm","lv6_unit_kerja_id","lv6_unit_kerja_nama","lv6_jabatan_id","lv6_jabatan_nama","lv6_eselon_nm","lv7_unit_kerja_id","lv7_unit_kerja_nama","lv7_jabatan_id","lv7_jabatan_nama","lv7_eselon_nm","level","unit_kerja_kode","id","parent_id","jabatan_id","eselon_nm","kode_unit_kerja","eselon_id","jabatan_nama","unit_kerja_nama","gol_id_minimum","alamat","latitude","longitude","m_kabkot_id","nama_kota","unit_kerja_id_baru","status","unit_kerja_aktif_mulai","unit_kerja_aktif_selesai","kode_jabatan"
"49","SEKRETARIAT DAERAH","34461","SEKRETARIS DAERAH","I.b","144","ASISTEN ADMINISTRASI UMUM","33353","ASISTEN ADMINISTRASI UMUM","II.a","175","BIRO ADMINISTRASI PIMPINAN","34480","KEPALA BIRO ADMINISTRASI PIMPINAN","II.b","184","BAGIAN PROTOKOL","34501","KEPALA BAGIAN PROTOKOL","III.a","188","SUB BAGIAN KEPROTOKOLAN","34504","KEPALA SUB BAGIAN KEPROTOKOLAN","IV.a",,,,,,,,,,,,,,,,4,,"188","184","34504","IV.a","100103030303",41,"KEPALA SUB BAGIAN KEPROTOKOLAN","SUB BAGIAN KEPROTOKOLAN",133,"JL. SAM RATULANGI NO.101 PALU",,,,,,1,,,
"12","DINAS KEHUTANAN","33380","KEPALA DINAS KEHUTANAN","II.a","485","UPTD KESATUAN PENGELOLAAN HUTAN BALANTAK","33415","KEPALA UPTD KESATUAN PENGELOLAAN HUTAN BALANTAK","III.b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"","485","12","33415","III.b","101912000000",32,"KEPALA UPTD KESATUAN PENGELOLAAN HUTAN BALANTAK","UPTD KESATUAN PENGELOLAAN HUTAN BALANTAK",134,"JL. S. PARMAN NO. 9 PALU",,,,,,1,,,
"2","BADAN KESATUAN BANGSA DAN POLITIK","33322","KEPALA BADAN KESATUAN BANGSA DAN POLITIK","II.a","22","SEKRETARIAT","33315","SEKRETARIS","III.a","23","SUB BAGIAN KEPEGAWAIAN DAN UMUM","33316","KEPALA SUB BAGIAN KEPEGAWAIAN DAN UMUM","IV.a",,,,,,,,,,,,,,,,,,,,,,,,,,2,,"23","22","33316","IV.a","103001010000",41,"KEPALA SUB BAGIAN KEPEGAWAIAN DAN UMUM","SUB BAGIAN KEPEGAWAIAN DAN UMUM",133,"JL. TANJUNG API NO. 7 PALU",,,,,,1,,,
"25","DINAS PERHUBUNGAN","33482","KEPALA DINAS PERHUBUNGAN","II.a","427","SEKRETARIAT","33483","SEKRETARIS","III.a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"427","25","33483","III.a","101601000000",31,"SEKRETARIS","SEKRETARIAT",141,"JL. R.A. KARTINI NO.35 PALU",,,,,,1,,,
"47","SATUAN POLISI PAMONG PRAJA","33981","KEPALA SATUAN POLISI PAMONG PRAJA","II.a","254","BIDANG PERLINDUNGAN MASYARAKAT","33995","KEPALA BIDANG PERLINDUNGAN MASYARAKAT","III.a","255","SEKSI DATA DAN INFORMASI","33996","KEPALA SEKSI DATA DAN INFORMASI","IV.a",,,,,,,,,,,,,,,,,,,,,,,,,,2,,"255","254","33996","IV.a","103805010000",41,"KEPALA SEKSI DATA DAN INFORMASI","SEKSI DATA DAN INFORMASI",133,"JL. PRAMUKA NO.21 PALU",,,,,,1,,,
"5","BADAN KEPEGAWAIAN DAERAH","24454","KEPALA BADAN KEPEGAWAIAN DAERAH","II.a","11","SEKRETARIAT","33300","SEKRETARIS","III.a","18","SUB BAGIAN UMUM DAN KEPEGAWAIAN","33302","KEPALA SUB BAGIAN UMUM DAN KEPEGAWAIAN","IV.a",,,,,,,,,,,,,,,,,,,,,,,,,,2,,"18","11","33302","IV.a","103601020000",41,"KEPALA SUB BAGIAN UMUM DAN KEPEGAWAIAN","SUB BAGIAN UMUM DAN KEPEGAWAIAN",133,"JL. DR. SAM RATULANGI, NO. 63, PALU",,,,,,1,,,
"36","DINAS ENERGI DAN SUMBER DAYA MINERAL","33744","KEPALA DINAS ENERGI DAN SUMBER DAYA MINERAL","II.a","642","UPT PELAYANAN TEKNIS LABORATORIUM","33926","KEPALA UPT PELAYANAN TEKNIS LABORATORIUM","III.b","644","SEKSI PELAYANAN PENGUJIAN","33928","KEPALA SEKSI PELAYANAN PENGUJIAN","IV.a",,,,,,,,,,,,,,,,,,,,,,,,,,2,,"644","642","33928","IV.a","101706020000",41,"KEPALA SEKSI PELAYANAN PENGUJIAN","SEKSI PELAYANAN PENGUJIAN",133,"JL. SAM RATULANGI NO.25 PALU",,,,,,1,,,
"5","BADAN KEPEGAWAIAN DAERAH","24454","KEPALA BADAN KEPEGAWAIAN DAERAH","II.a","14","BIDANG MUTASI DAN PROMOSI","33306","KEPALA BIDANG MUTASI DAN PROMOSI","III.a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"14","5","33306","III.a","103603000000",31,"KEPALA BIDANG MUTASI DAN PROMOSI","BIDANG MUTASI DAN PROMOSI",141,"JL. DR. SAM RATULANGI, NO. 63, PALU",,,,,,1,,,
"33","DINAS PERKEBUNAN DAN PETERNAKAN","37689","KEPALA DINAS PERKEBUNAN DAN PETERNAKAN","II.a","886","UPT VETERINER","36591","KEPALA UPT VETERINER","III.a","887","SEKSI PELAYANAN KESEHATAN HEWAN","36592","KEPALA SEKSI PELAYANAN KESEHATAN HEWAN","IV.a",,,,,,,,,,,,,,,,,,,,,,,,,,2,,"887","886","36592","IV.a","102609030000",41,"KEPALA SEKSI PELAYANAN KESEHATAN HEWAN","SEKSI PELAYANAN KESEHATAN HEWAN",133,"JL. R.A. KARTINI NO.25 & 31 PALU",,,,,,1,,,
"5","BADAN KEPEGAWAIAN DAERAH","24454","KEPALA BADAN KEPEGAWAIAN DAERAH","II.a","15","BIDANG PENILAIAN KINERJA APARATUR DAN PENGHARGAAN","33307","KEPALA BIDANG PENILAIAN KINERJA APARATUR DAN PENGHARGAAN","III.a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"15","5","33307","III.a","103604000000",31,"KEPALA BIDANG PENILAIAN KINERJA APARATUR DAN PENGHARGAAN","BIDANG PENILAIAN KINERJA APARATUR DAN PENGHARGAAN",141,"JL. DR. SAM RATULANGI, NO. 63, PALU",,,,,,1,,,
