program_id;kode;nama;satuan_kerja_id;anggaran;tahun_kinerja
610;5.02.02.1.04;Koordinasi dan Pelaksanaan Akuntansi dan Pelaporan Keuangan Daerah;4;3084921850;2026
610;5.02.02.1.05;Penunjang Urusan Kewenangan Pengelolaan Keuangan Daerah;4;699653637686;2026
611;5.02.03.1.01;Pengelolaan Barang Milik Daerah;4;7784000000;2026
612;5.04.01.1.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;6;871547806;2026
612;5.04.01.1.02;Administrasi Keuangan Perangkat Daerah;6;12414696796;2026
612;5.04.01.1.03;Administrasi Barang Milik Daerah pada Perangkat Daerah;6;156791600;2026
612;5.04.01.1.05;Administrasi Kepegawaian Perangkat Daerah;6;844300000;2026
612;5.04.01.1.06;Administrasi Umum Perangkat Daerah;6;428674850;2026
612;5.04.01.1.07;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;6;97437608;2026
612;5.04.01.1.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;6;1737270624;2026
612;5.04.01.1.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;6;622070000;2026
613;5.04.02.1.01;Pengembangan Kompetensi Teknis;6;907614000;2026
613;5.04.02.1.02;Sertifikasi, Kelembagaan, Pengembangan Kompetensi Manajerial dan Fungsional;6;5970161896;2026
613;5.04.02.1.03;Pengembangan Kompetensi Pemerintahan Dalam Negeri;6;2995389750;2026
614;5.07.01.1.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;9;511610000;2026
614;5.07.01.1.02;Administrasi Keuangan Perangkat Daerah;9;6946871270;2026
614;5.07.01.1.05;Administrasi Kepegawaian Perangkat Daerah;9;69200000;2026
614;5.07.01.1.06;Administrasi Umum Perangkat Daerah;9;55387809;2026
614;5.07.01.1.07;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;9;100589090;2026
614;5.07.01.1.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;9;599812788;2026
614;5.07.01.1.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;9;1108431500;2026
615;5.07.02.1.01;Pelaksanaan Pelayanan Penghubung;9;1299384620;2026
616;5.01.01.1.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;1;1001255000;2026
616;5.01.01.1.02;Administrasi Keuangan Perangkat Daerah;1;18399039646;2026
616;5.01.01.1.03;Administrasi Barang Milik Daerah pada Perangkat Daerah;1;274376000;2026
616;5.01.01.1.05;Administrasi Kepegawaian Perangkat Daerah;1;471855000;2026
616;5.01.01.1.06;Administrasi Umum Perangkat Daerah;1;1596509181;2026
616;5.01.01.1.07;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;1;457428489;2026
616;5.01.01.1.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;1;3858976500;2026"
