kode,nama,anggaran,satuan_kerja_id,tahun_kinerja
5.03.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,14658875709,5,2026
5.03.02,PROGRAM KEPEGAWAIAN DAERAH,3020000000,5,2026
8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,10122589759,2,2026
8.01.02,PROGRAM PENGUATAN IDEOLOGI PANCASILA DAN KARAKTER KEBANGSAAN,1599054025,2,2026
8.01.03,PROGRAM PENINGKATAN PERAN PARTAI POLITIK DAN LEMBAGA PENDIDIKAN MELALUI PENDIDIKAN POLITIK DAN PENGEMBANGAN ETIKA SERTA BUDAYA POLITIK,2004942350,2,2026
8.01.04,PROGRAM PEMBERDAYAAN DAN PENGAWASAN ORGANISASI KEMASYARAKATAN,2051329250,2,2026
8.01.05,PROGRAM PEMBINAAN DAN PENGEMBANGAN KETAHANAN EKONOMI DAN BUDAYA,245090850,2,2026
8.01.06,PROGRAM PENINGKATAN KEWASPADAAN NASIONAL DAN PENINGKATAN KUALITAS DAN FASILITASI PENANGANAN KONFLIK SOSIAL,770001800,2,2026
1.05.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,12820676963,8,2026
1.05.03,PROGRAM PENANGGULANGAN BENCANA,1293401900,8,2026
5.02.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,81802211599,3,2026
5.02.04,PROGRAM PENGELOLAAN PENDAPATAN DAERAH,3955998646,3,2026
5.02.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,509784657968,4,2026
5.02.02,PROGRAM PENGELOLAAN KEUANGAN DAERAH,709964734457,4,2026
5.02.03,PROGRAM PENGELOLAAN BARANG MILIK DAERAH,7784000000,4,2026
5.04.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,17172789285,6,2026
5.04.02,PROGRAM PENGEMBANGAN SUMBER DAYA MANUSIA,9873165646,6,2026
5.07.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,9391902457,9,2026
5.07.02,PROGRAM PELAYANAN PENGHUBUNG,1299384620,9,2026
5.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,27673684557,1,2026
5.01.02,PROGRAM PERENCANAAN PENGENDALIAN DAN EVALUASI PEMBANGUNAN DAERAH,2757638890,1,2026
5.01.03,PROGRAM KOORDINASI DAN SINKRONISASI PERENCANAAN PEMBANGUNAN DAERAH,6844370051,1,2026
5.05.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,12842840899,7,2026
5.05.02,PROGRAM PENELITIAN DAN PENGEMBANGAN DAERAH,0,7,2026
5.05.03,PROGRAM RISET DAN INOVASI DAERAH,2249985600,7,2026
1.03.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,27867600821,13,2026
1.03.10,PROGRAM PENYELENGGARAAN JALAN,114103321964,13,2026
1.03.11,PROGRAM PENGEMBANGAN JASA KONSTRUKSI,600000150,13,2026
1.03.12,PROGRAM PENYELENGGARAAN PENATAAN RUANG,899999666,13,2026
1.03.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,33134412723,14,2026
1.03.02,PROGRAM PENGELOLAAN SUMBER DAYA AIR (SDA),57155944672,14,2026
1.03.03,PROGRAM PENGELOLAAN DAN PENGEMBANGAN SISTEM PENYEDIAAN AIR MINUM,1141346650,14,2026
1.03.04,PROGRAM PENGEMBANGAN SISTEM DAN PENGELOLAAN PERSAMPAHAN REGIONAL,750000000,14,2026
1.03.05,PROGRAM PENGELOLAAN DAN PENGEMBANGAN SISTEM AIR LIMBAH,1600000000,14,2026
1.03.06,PROGRAM PENGELOLAAN DAN PENGEMBANGAN SISTEM DRAINASE,7446005000,14,2026
1.03.07,PROGRAM PENGEMBANGAN PERMUKIMAN,52701796000,14,2026
1.03.08,PROGRAM PENATAAN BANGUNAN GEDUNG,211687750,14,2026
1.03.09,PROGRAM PENATAAN BANGUNAN DAN LINGKUNGANNYA,210687250,14,2026
3.29.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,16364936561,36,2026
3.29.02,PROGRAM PENGELOLAAN ASPEK KEGEOLOGIAN,506763550,36,2026
3.29.03,PROGRAM PENGELOLAAN MINERAL DAN BATUBARA,621801750,36,2026
3.29.05,PROGRAM PENGELOLAAN ENERGI BARU TERBARUKAN,15331611140,36,2026
3.29.06,PROGRAM PENGELOLAAN KETENAGALISTRIKAN,10699296336,36,2026
2.22.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,14400355944,11,2026
2.22.02,PROGRAM PENGEMBANGAN KEBUDAYAAN,2175000000,11,2026
2.22.03,PROGRAM PENGEMBANGAN KESENIAN TRADISIONAL,627000000,11,2026
2.22.04,PROGRAM PEMBINAAN SEJARAH,100000000,11,2026
2.22.05,PROGRAM PELESTARIAN DAN PENGELOLAAN CAGAR BUDAYA,1200000000,11,2026
2.22.06,PROGRAM PENGELOLAAN PERMUSEUMAN,0,11,2026
3.28.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,70304159101,34,2026
3.28.03,PROGRAM PENGELOLAAN HUTAN,16307230590,34,2026
