kegiatan_id;kode;nama;satuan_kerja_id;anggaran;tahun_kinerja
1381;5.03.02.1.04.0002;Pelaksanaan Penilaian dan Evaluasi Kinerja Aparatur;5;130000000;2026
1381;5.03.02.1.04.0003;Evaluasi Hasil Penilaian dan Evaluasi Kinerja Aparatur;5;20000000;2026
1381;5.03.02.1.04.0005;Pengelolaan Tanda Jasa bagi Pegawai;5;60000000;2026
1381;5.03.02.1.04.0006;Evaluasi Pelaksanaan Pemberian Penghargaan dan Tanda Jasa Aparatur;5;5000000;2026
1381;5.03.02.1.04.0007;Pembinaan Disiplin ASN;5;85000000;2026
1381;5.03.02.1.04.0008;Pengelolaan Penyelesaian Pelanggaran Disiplin ASN;5;50000000;2026
1381;5.03.02.1.04.0009;Pelayanan Proses Izin Perceraian Pegawai;5;15000000;2026
1382;8.01.01.1.01.0001;Penyusunan Dokumen Perencanaan Perangkat Daerah;2;5820000;2026
1382;8.01.01.1.01.0006;Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD;2;44923700;2026
1382;8.01.01.1.01.0007;Evaluasi Kinerja Perangkat Daerah;2;112558000;2026
1383;8.01.01.1.02.0001;Penyediaan Gaji dan Tunjangan ASN;2;7193008056;2026
1383;8.01.01.1.02.0002;Penyediaan Administrasi Pelaksanaan Tugas ASN;2;984450000;2026
1383;8.01.01.1.02.0005;Koordinasi dan Penyusunan Laporan Keuangan Akhir Tahun SKPD;2;35221200;2026
1384;8.01.01.1.03.0003;Koordinasi dan Penilaian Barang Milik Daerah SKPD;2;89944400;2026
1384;8.01.01.1.03.0005;Rekonsiliasi dan Penyusunan Laporan Barang Milik Daerah pada SKPD;2;19800000;2026
1384;8.01.01.1.03.0006;Penatausahaan Barang Milik Daerah pada SKPD;2;0;2026
1385;8.01.01.1.05.0002;Pengadaan Pakaian Dinas Beserta Atribut Kelengkapannya;2;59253750;2026
1385;8.01.01.1.05.0009;Pendidikan dan Pelatihan Pegawai Berdasarkan Tugas dan Fungsi;2;5000000;2026
1386;8.01.01.1.06.0002;Penyediaan Peralatan dan Perlengkapan Kantor;2;25044750;2026
1386;8.01.01.1.06.0005;Penyediaan Barang Cetakan dan Penggandaan;2;22828150;2026
1386;8.01.01.1.06.0006;Penyediaan Bahan Bacaan dan Peraturan Perundang-Undangan;2;45400000;2026
1386;8.01.01.1.06.0008;Fasilitasi Kunjungan Tamu;2;29500000;2026
1386;8.01.01.1.06.0009;Penyelenggaraan Rapat Koordinasi dan Konsultasi SKPD;2;413146400;2026
1387;8.01.01.1.07.0002;Pengadaan Kendaraan Dinas Operasional atau Lapangan;2;20000000;2026
1387;8.01.01.1.07.0005;Pengadaan Mebel;2;940000;2026
